taxa_clean,wm_shell_on_g,afdm_g,keep_data
Spisula,1.129,0.022,TRUE
Spisula,0.914,0.014,TRUE
Spisula,0.049,0.001,FALSE
Spisula,0.606,0.009,TRUE
Spisula,0.287,0.004,TRUE
Spisula,0.597,0.01,TRUE
Spisula,0.768,0.01,TRUE
Spisula,0.456,0.007,TRUE
Spisula,2.146,0.042,FALSE
Spisula,4.035,0.06,FALSE
Spisula,0.603,0.008,TRUE
Spisula,2.513,0.036,FALSE
Spisula,1.305,0.018,TRUE
Spisula,0.9,0.017,TRUE
Spisula,1.564,0.02,TRUE
Spisula,1.082,0.018,TRUE
Spisula,0.856,0.016,TRUE
Spisula,0.99,0.021,TRUE
Spisula,1.212,0.018,TRUE
Spisula,0.907,0.021,TRUE
Spisula,1.389,0.028,TRUE
Spisula,0.941,0.019,TRUE
Spisula,0.046,0.002,FALSE
Salinator (shell removed),2.1,0.133,FALSE
Salinator (shell removed),0.723,0.053,TRUE
Salinator (shell removed),2.558,0.204,FALSE
Salinator (shell removed),0.503,0.04,TRUE
Salinator (shell removed),1.919,0.138,TRUE
Salinator (shell removed),0.392,0.029,TRUE
Salinator (shell removed),0.488,0.031,TRUE
Salinator (shell removed),0.31,0.018,TRUE
Salinator (shell removed),0.329,0.021,TRUE
Salinator (shell removed),0.445,0.036,TRUE
Salinator (shell removed),0.376,0.026,TRUE
Salinator (shell removed),0.412,0.031,TRUE
Salinator (shell removed),0.327,0.028,TRUE
Salinator (shell removed),0.534,0.042,TRUE
Salinator (shell removed),0.198,0.013,FALSE
