taxa_clean,wm_g,afdm_g,keep_data
Arthritica,0.1833,0.0157,TRUE
Arthritica,0.1477,0.0042,TRUE
Arthritica,0.3033,0.0226,FALSE
Arthritica,0.2115,0.0246,TRUE
Arthritica,0.2539,0.0196,TRUE
Arthritica,0.0165,0.0037,TRUE
Arthritica,0.0151,0.0022,TRUE
Arthritica,0.0084,0.0033,TRUE
Arthritica,0.0376,0.0085,TRUE
Arthritica,0.0021,0.001,FALSE
Arthritica,0.2274,0.0582,FALSE
Arthritica,0.2328,0.0563,FALSE
Arthritica,0.233,0.0228,TRUE
Arthritica,0.2116,0.0213,TRUE
Hydrobiidae,0.0076,0.0027,FALSE
Hydrobiidae,0.018,0.0047,TRUE
Hydrobiidae,0.0608,0.0098,TRUE
Hydrobiidae,0.034,0.0088,TRUE
Hydrobiidae,0.0269,0.0076,TRUE
Hydrobiidae,0.3973,0.1074,FALSE
Hydrobiidae,0.0431,0.0104,TRUE
Hydrobiidae,0.2016,0.0626,TRUE
Hydrobiidae,0.0399,0.025,FALSE
Hydrobiidae,0.0198,0.0012,FALSE
Hydrobiidae,0.1205,0.0279,TRUE
Hydrobiidae,0.0149,0.0014,TRUE
Salinator,0.0335,0.003,TRUE
Salinator,0.7241,0.068,TRUE
Salinator,0.0167,0.0015,TRUE
Salinator,0.0134,0.0024,TRUE
Salinator,2.1905,0.2812,TRUE
Salinator,3.9257,0.4564,TRUE
Salinator,12.661,0.019,FALSE
Salinator,4.1836,0.5189,TRUE
Salinator,0.5256,0.058,TRUE
Salinator,0.011,0.005,TRUE
Salinator,0.0591,0.008,TRUE
Salinator,0.0286,0.0078,TRUE
Salinator,0.0113,0.0039,TRUE
Salinator,0.0095,0.0019,TRUE
Salinator,0.6109,0.1783,TRUE
Salinator,0.0043,0.0011,FALSE
Salinator,1.1528,0.1442,TRUE
Salinator,7.1876,1.0238,FALSE
Salinator,0.8949,0.117,TRUE
Salinator,2.8313,0.3181,TRUE
Salinator,4.5958,0.5024,TRUE
Capitella,0.0033,0.0014,FALSE
Capitella,0.1625,0.0227,TRUE
Capitella,0.1708,0.0228,TRUE
Capitella,0.3106,0.0387,FALSE
Capitella,0.2564,0.0336,TRUE
Capitella,0.2294,0.0294,TRUE
Capitella,0.0253,0.0038,TRUE
Capitella,0.005,0.0017,TRUE
Capitella,0.0072,0.0012,TRUE
Capitella,0.3373,0.0364,FALSE
Capitella,0.3269,0.0238,FALSE
Capitella,0.1072,0.0091,TRUE
Capitella,0.2267,0.0248,TRUE
Capitella,0.1417,0.0156,TRUE
Capitella,0.022,0.0012,TRUE
Capitella,0.122,0.01,TRUE
Capitella,0.0081,0.001,FALSE
Capitella,0.0404,0.003,TRUE
Simplisetia,0.104,0.0173,TRUE
Simplisetia,0.074,0.0106,TRUE
Simplisetia,0.0929,0.0105,TRUE
Simplisetia,0.0708,0.0089,TRUE
Simplisetia,0.0155,0.0023,TRUE
Simplisetia,0.0247,0.0045,TRUE
Simplisetia,0.0113,0.0011,FALSE
Simplisetia,0.5939,0.0561,TRUE
Simplisetia,1.7846,0.2743,FALSE
Simplisetia,0.9213,0.0777,TRUE
Simplisetia,2.1809,0.2049,TRUE
Simplisetia,2.4187,0.223,FALSE
Simplisetia,1.1001,0.1027,TRUE
Simplisetia,1.2664,0.1284,TRUE
Simplisetia,1.3703,0.1464,TRUE
Simplisetia,1.3261,0.1398,TRUE
Simplisetia,1.6624,0.1364,TRUE
