taxa_clean,n,mean_afdm_count,lower_ci_mean_afdm_count,upper_ci_mean_afdm_count,sd_afdm_count,geom_mean,min_afdm_count,median_afdm_count,max_afdm_count,min_count,max_count
Amphipoda,32,9.862962279206459e-5,3.70945620738767e-5,1.601646835102525e-4,1.7067544728940006e-4,6.285281670558379e-5,2.2222222222222223e-5,5.8472044387537345e-5,0.001,1,563
Arthritica,43,1.243292363067081e-4,9.6900129148344e-5,1.517583434650722e-4,8.912656198025403e-5,1.0417244897071522e-4,2.857142857142857e-5,9.722222222222223e-5,5e-4,2,535
Capitella,77,5.317289412933817e-5,4.722765374594526e-5,5.911813451273107e-5,2.6193698897162526e-5,0,1.785714285714286e-5,4.545454545454546e-5,1.6666666666666666e-4,6,837
Chironomidae,41,7.878307230633557e-5,6.193905827639484e-5,9.562708633627631e-5,5.33648150920428e-5,6.832590288292554e-5,3.4482758620689657e-5,6.25e-5,3.333333333333333e-4,3,183
Hydrobiidae,16,2.728376253351489e-4,1.1247952716115333e-4,4.331957235091444e-4,3.0093716927628476e-4,1.8876752989499353e-4,7.692307692307693e-5,1.4285714285714287e-4,0.001,1,49
Salinator,14,0.010255710617580365,-8.656616155245194e-4,0.021377082850685247,0.019261696119583647,0.002077573195432356,1.1764705882352942e-4,0.0018055555555555555,0.0605,1,17
Salinator (shell removed),15,0.010985371572871572,0.008688786923725211,0.013281956222017931,0.0041470949765799415,0.010257229031752102,0.005714285714285714,0.009333333333333334,0.018,2,16
Simplisetia,56,5.31908654399643e-4,3.940140360690421e-4,6.698032727302438e-4,5.149130614000095e-4,3.8083421086456396e-4,6.25e-5,3.73546511627907e-4,0.002,1,231
Spisula,23,0.008053398240071208,0.004696404834977315,0.011410391645165099,0.007763047336341245,0.004605581734315015,8.333333333333334e-4,0.0029999999999999996,0.021,1,23
